the  #1  art. 这；那 adv. 更加（用于比较级，最高级前）
environment  #857  n. 环境，外界
leg  #858  n. 腿；支柱
dark  #859  adj. 黑暗的，深色的；模糊的；无知的；忧郁的 n. 黑暗；夜；黄昏；模糊 n. （Dark）人名；（英）达克 n. （Dark）《暗黑》（一部2017年Netflix出品的德国惊悚剧）
public  #860  adj. 公众的；政府的；公用的；公立的 n. 公众；社会；公共场所 n. (Public)人名；(英)帕布利克
various  #861  adj. 各种各样的；多方面的
rather  #862  adv. 宁可，宁愿；相当 int. 当然啦（回答问题时用） n. (Rather)人名；(英)拉瑟
laugh  #863  n. 笑；引人发笑的事或人 vi. 笑 vt. 以笑表示；使…笑得
guess  #864  vt. 猜测；认为；推测；猜中 vi. 猜；推测；猜中 n. 猜测；推测 n. (Guess)人名；(英)格斯；(德)居斯
executive  #865  adj. 行政的；经营的；执行的，经营管理的 n. 总经理；执行委员会；执行者；经理主管人员
set  #866  n. [数] 集合；一套；布景；[机] 装置 vt. 树立；点燃；点缀； vi. (日,月)落沉；凝固；结果 adj. 固定的；规定的；固执的 n. (Set)人名；(瑞典)塞特；(俄)谢特
study  #867  n. 学习，研究；课题；书房；学问 vt. 学习；考虑；攻读；细察 vi. 研究；用功 n. (Study)人名；(英)斯塔迪
prove  #868  vt. 证明；检验；显示 vi. 证明是
hang  #869  vt. 悬挂，垂下；装饰；绞死；使悬而未决 vi. 悬着，垂下；被绞死；悬而不决 n. 悬挂；暂停，中止 n. (Hang)人名；(罗)汉格；(东南亚国家华语)康；(老)汉；(柬)韩(用于名字第一节)，杭
entire  #870  adj. 全部的，整个的；全体的 n. (Entire)人名；(英)恩泰尔
rock  #871  n. 岩石；摇滚乐；暗礁 vt. 摇动；使摇晃 vi. 摇动；摇晃 n. (Rock)人名；(英、德、匈、意、瑞典)罗克
design  #872  vt. 设计；计划；构思 n. 设计；图案 vi. 设计
enough  #873  adv. 足够地，充足地 n. 很多；充足 adj. 充足的 int. 够了！
forget  #874  vt. 忘记；忽略 vi. 忘记  n. (Forget)人名；(法)福尔热
since  #875  conj. 因为；由于；既然；自…以来；自…以后 prep. 自…以来；自…以后 adv. 后来
claim  #876  vi. 提出要求 vt. 要求；声称；需要；认领 n. 要求；声称；索赔；断言；值得
note  #877  n. 笔记；音符；票据；注解；纸币；便笺；照会；调子 vt. 注意；记录；注解 n. (Note)人名；(英)诺特
remove  #878  vt. 移动，迁移；开除；调动 vi. 移动，迁移；搬家 n. 移动；距离；搬家
manager  #879  n. 经理；管理人员
help  #880  vt. 帮助；促进；治疗；补救 n. 帮助；补救办法；帮忙者；有益的东西 vi. 帮助；有用；招待 n. (Help)人名；(芬)海尔普
close  #881  adj. 紧密的；亲密的；亲近的 vt. 关；结束；使靠近 vi. 关；结束；关闭 adv. 紧密地 n. 结束 n. (Close)人名；(西)克洛塞；(英、法)克洛斯
sound  #882  vt. 听（诊）；测量，测…深；使发声；试探；宣告 n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条 adj. 健全的，健康的；合理的；可靠的；有效彻底的 adv. 彻底地，充分地 vi. 听起来；发出声音；回响；测深
enjoy  #883  vt. 欣赏，享受；喜爱；使过得快活
network  #884  n. 网络；广播网；网状物
legal  #885  adj. 法律的；合法的；法定的；依照法律的 n. (Legal)人名；(法)勒加尔
religious  #886  adj. 宗教的；虔诚的；严谨的；修道的 n. 修道士；尼姑
cold  #887  adj. 寒冷的；冷淡的，不热情的；失去知觉的 n. 寒冷；感冒 adv. 完全地
form  #888  n. 形式，形状；形态，外形；方式；表格 vt. 构成，组成；排列，组织；产生，塑造 vi. 形成，构成；排列 n. (Form)人名；(英)福姆；(法、德)福尔姆
final  #889  adj. 最终的；决定性的；不可更改的 n. 决赛；期末考试；当日报纸的末版
main  #890  n. 主要部分，要点；体力；总管道 adj. 主要的，最重要的；全力的 n. (Main)人名；(德)迈因；(西)马因；(英、法)梅因
science  #891  n. 科学；技术；学科；理科 n. (Science)人名；(英)赛恩斯
green  #892  adj. 绿色的；青春的 n. 绿色；青春 vt. 使…变绿色 vi. 变绿色 n. (Green)人名；(英、意)格林；(瑞典、芬)格伦
memory  #893  n. 记忆，记忆力；内存，[计] 存储器；回忆 n. (Memory)人名；(英)梅默里
card  #894  n. 卡片；纸牌；明信片 vt. 记于卡片上 n. (Card)人名；(英)卡德
above  #895  prep. 超过；在……上面；在……之上 adv. 在上面；在上文 adj. 上文的 n. 上文
seat  #896  n. 座位；所在地；职位 vt. 使…坐下；可容纳…的；使就职
cell  #897  n. 细胞；电池；蜂房的巢室；单人小室 vi. 住在牢房或小室中 n. (Cell)人名；(英)塞尔
establish  #898  vt. 建立；创办；安置 vi. 植物定植
nice  #899  adj. 精密的；美好的；细微的；和蔼的 n. (Nice)人名；(英)尼斯
trial  #900  n. 试验；审讯；努力；磨炼 adj. 试验的；审讯的 n. (Trial)人名；(法)特里亚尔
expert  #901  adj. 熟练的；内行的；老练的 n. 专家；行家；能手 vt. 当专家；在…中当行家 n. (Expert)人名；(法)埃克斯佩
that  #902  pron. 那；那个 adv. 那么；那样 conj. 因为；以至于 adj. 那；那个 n. (That)人名；(德)塔特
spring  #903  n. 春天；弹簧；泉水；活力；跳跃 adj. 春天的 vi. 生长；涌出；跃出；裂开 vt. 使跳起；使爆炸；突然提出；使弹开 n. (Spring)人名；(德)施普林；(英、芬、瑞典)斯普林
firm  #904  adj. 坚定的；牢固的；严格的；结实的 vt. 使坚定；使牢固 vi. 变坚实；变稳固 adv. 稳固地 n. 公司；商号
Democrat  #905  n. 民主党人；民主主义者；民主政体论者
radio  #906  n. 收音机；无线电广播设备 vi. 用无线电进行通信 vt. 用无线电发送 n. (Radio)人名；(西)拉迪奥
visit  #907  n. 访问；参观；逗留 vt. 访问；参观；视察 vi. 访问；暂住；闲谈 n. (Visit)人名；(老)维西；(泰)威实
management  #908  n. 管理；管理人员；管理部门；操纵；经营手段
care  #909  n. 关怀；照料；谨慎；忧虑 vi. 照顾；关心；喜爱；顾虑 vt. 在意；希望或喜欢 n. (Care)人名；(英)凯尔；(塞)察蕾
avoid  #910  vt. 避免；避开，躲避；消除
imagine  #911  vt. 想象；猜想；臆断 vi. 想象；猜想；想象起来
tonight  #912  adv. 在今晚 n. 今晚
huge  #913  adj. 巨大的；庞大的；无限的 n. (Huge)人名；(英)休奇
ball  #914  n. 球；舞会 vi. 成团块 vt. 捏成球形 n. (Ball)人名；(土)巴勒；(英、西)鲍尔；(法、德、俄、罗、捷)巴尔
no  #915  adv. 不 adj. 没有；不是 n. 不；否决票 abbr. 数字（number）；元素锘（nobelium）的符号 n. (No)人名；(柬)诺；(越)努
close  #916  adj. 紧密的；亲密的；亲近的 vt. 关；结束；使靠近 vi. 关；结束；关闭 adv. 紧密地 n. 结束 n. (Close)人名；(西)克洛塞；(英、法)克洛斯
finish  #917  vt. 完成；结束；用完 vi. 结束，终止；终结 n. 结束；完美；回味（葡萄酒）
yourself  #918  pron. 你自己
talk  #919  vt. 说；谈话；讨论 vi. 谈话；说闲话 n. 谈话；演讲；空谈
theory  #920  n. 理论；原理；学说；推测
impact  #921  n. 影响；效果；碰撞；冲击力 vt. 挤入，压紧；撞击；对…产生影响 vi. 影响；撞击；冲突；压紧（on，upon，with）
respond  #922  vi. 回答；作出反应；承担责任 vt. 以…回答 n. 应答；唱和
statement  #923  n. 声明；陈述，叙述；报表，清单
maintain  #924  vt. 维持；继续；维修；主张；供养
charge  #925  n. 费用；电荷；掌管；控告；命令；负载 vt. 使充电；使承担；指责；装载；对…索费；向…冲去 vi. 充电；控告；索价；向前冲；记在账上 n. (Charge)人名；(法)沙尔热；(英)查奇
popular  #926  adj. 流行的，通俗的；受欢迎的；大众的；普及的
traditional  #927  adj. 传统的；惯例的
onto  #928  prep. 在…之上；对…了解；映射到…上 adj. 映射的；自身的；映成的
reveal  #929  vt. 显示；透露；揭露；泄露 n. 揭露；暴露；门侧，窗侧
direction  #930  n. 方向；指导；趋势；用法说明
weapon  #931  n. 武器，兵器
employee  #932  n. 雇员；从业员工
cultural  #933  adj. 文化的；教养的
contain  #934  vt. 包含；控制；容纳；牵制（敌军） vi. 含有；自制
peace  #935  n. 和平；平静；和睦；秩序 n. (Peace)人名；(英)皮斯
head  #936  n. 头；头痛；上端；最前的部分；理解力 vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题 vi. 出发；成头状物；船驶往 adj. 头的；主要的；在顶端的 n. (Head)人名；(英)黑德
control  #937  n. 控制；管理；抑制；操纵装置 vt. 控制；管理；抑制
base  #938  n. 基础；底部；垒 adj. 卑鄙的；低劣的 vt. 以…作基础 n. (Base)人名；(日)马濑(姓)
pain  #939  n. 疼痛；努力 vt. 使…痛苦；使…烦恼 vi. 感到疼痛；引起疼痛 n. (Pain)人名；(意)帕因；(俄)派因；(法)潘；(英)佩因
apply  #940  vt. 申请；涂，敷；应用 vi. 申请；涂，敷；适用；请求
play  #941  vt. 游戏；扮演；演奏；播放；同…比赛 vi. 演奏；玩耍；上演；参加比赛 n. 游戏；比赛；剧本 n. (Play)人名；(法、瑞典)普莱
measure  #942  n. 测量；措施；程度；尺寸 vt. 测量；估量；权衡 vi. 测量；估量
wide  #943  adj. 广泛的；宽的，广阔的；张大的；远离目标的 adv. 广泛地；广阔地；充分地 n. 大千世界 n. (Wide)人名；(瑞典、芬)维德
shake  #944  vt. 动摇；摇动；震动；握手 vi. 动摇；摇动；发抖 n. 摇动；哆嗦
fly  #945  vi. 飞；驾驶飞机；飘扬 vt. 飞行；飞越；使飘扬 n. 飞行；苍蝇；两翼昆虫 adj. 敏捷的 n. (Fly)人名；(法)弗利；(英)弗莱
interview  #946  n. 接见，采访；面试，面谈 vt. 采访；接见；对…进行面谈；对某人进行面试
manage  #947  vt. 管理；经营；控制；设法 vi. 处理；应付过去
chair  #948  n. 椅子；讲座；（会议的）主席位；大学教授的职位 vt. 担任（会议的）主席；使…入座；使就任要职 n. (Chair)人名；(法)谢尔
fish  #949  vi. 捕鱼，钓鱼；用钩捞取 n. 鱼，鱼类 vt. 钓鱼，捕鱼；搜寻 n. (Fish)人名；(英、西)菲什；(俄)菲施
particular  #950  adj. 特别的；详细的；独有的；挑剔的 n. 详细说明；个别项目
camera  #951  n. 照相机；摄影机 n. (Camera)人名；(英、意、西)卡梅拉
structure  #952  n. 结构；构造；建筑物 vt. 组织；构成；建造
politics  #953  n. 政治，政治学；政治活动；政纲
perform  #954  vt. 执行；完成；演奏 vi. 执行，机器运转；表演
bit  #955  n. [计] 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块 vt. 控制 adj. 很小的；微不足道的 adv. 有点儿；相当 vt. 咬（bite的过去式和过去分词）
weight  #956  n. 重量，重力；负担；砝码；重要性 vt. 加重量于，使变重 n. (Weight)人名；(英)韦特；(捷)魏格特
suddenly  #957  adv. 突然地；忽然
discover  #958  vt. 发现；发觉 vi. 发现
candidate  #959  n. 候选人，候补者；应试者
top  #960  n. 顶部，顶端；上部；首席；陀螺 vi. 高出，超越；结束；达到顶点 vt. 超越，超过；给…加盖；达到…的顶端 adj. 最高的，顶上的；头等的 n. (Top)人名；(英、土、意)托普
production  #961  n. 成果；产品；生产；作品
treat  #962  vt. 治疗；对待；探讨；视为 vi. 探讨；请客；协商 n. 请客；款待 n. (Treat)人名；(英)特里特
trip  #963  vi. 绊倒；远足；犯错误；轻快地走 n. 旅行；绊倒；差错 vt. 绊倒；使犯错 n. (Trip)人名；(荷)特里普
evening  #964  n. 晚上；傍晚；（联欢性的）晚会；后期 adj. 在晚上的；为晚上的；晚上用的 int. 晚上好（等于good evening）
affect  #965  vt. 影响；感染；感动；假装 vi. 倾向；喜欢 n. 情感；引起感情的因素
inside  #966  n. 里面；内部；内情；内脏 adj. 里面的；内部的；秘密的 adv. 在里面 prep. 少于；在…之内
conference  #967  n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会 vi. 举行或参加（系列）会议
unit  #968  n. 单位，单元；装置；[军] 部队；部件
best  #969  n. 最好的人，最好的事物；最佳状态 adj. 最好的 adv. 最好地 vt. 打败，胜过 n. (Best)人名；(英、西、德、葡、法)贝斯特
style  #970  n. 风格；时尚；类型；字体 vt. 设计；称呼；使合潮流 vi. 设计式样；用刻刀作装饰画 n. (Style)人名；(英)斯泰尔
adult  #971  adj. 成年的；成熟的 n. 成年人
worry  #972  n. 担心；烦恼；撕咬 vt. 担心；发愁；折磨 vi. 担心；烦恼；撕咬
range  #973  n. 范围；幅度；排；山脉 vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到 vt. 漫游；放牧；使并列；归类于；来回走动
mention  #974  vt. 提到，谈到；提及，论及；说起 n. 提及，说起 n. (Mention)人名；(法)芒雄
rather  #975  adv. 宁可，宁愿；相当 int. 当然啦（回答问题时用） n. (Rather)人名；(英)拉瑟
far  #976  adv. 很；遥远地；久远地；到很远的距离；到很深的程度 adj. 远的；久远的 n. 远方 n. (Far)人名；(德、西、塞)法尔
deep  #977  n. 深处；深渊 adj. 深的；低沉的；深奥的 adv. 深入地；深深地；迟 n. (Deep)人名；(英)迪普
past  #978  n. 过去；往事 adj. 过去的；结束的 prep. 越过；晚于 adv. 过；经过
edge  #979  n. 边缘；优势；刀刃；锋利 vt. 使锐利；将…开刃；给…加上边 vi. 缓缓移动；侧着移动 n. (Edge)人名；(英)埃奇
individual  #980  adj. 个人的；个别的；独特的 n. 个人，个体
specific  #981  adj. 特殊的，特定的；明确的；详细的；[药] 具有特效的 n. 特性；细节；特效药
writer  #982  n. 作家；作者
trouble  #983  n. 麻烦；烦恼；故障；动乱 vt. 麻烦；使烦恼；折磨 vi. 费心，烦恼
necessary  #984  adj. 必要的；必需的；必然的 n. 必需品 n. (Necessary)人名；(英)内塞瑟里
throughout  #985  adv. 自始至终，到处；全部 prep. 贯穿，遍及
challenge  #986  n. 挑战；怀疑 vt. 向…挑战；对…质疑
fear  #987  n. 害怕；恐惧；敬畏；担心 vt. 害怕；敬畏；为…担心 vi. 害怕；敬畏；为…担心
shoulder  #988  n. 肩，肩膀；肩部 vt. 肩负，承担 vi. 用肩推挤，用肩顶
institution  #989  n. 制度；建立；（社会或宗教等）公共机构；习俗
middle  #990  adj. 中间的，中部的；中级的，中等的 n. 中间，中央；腰部
sea  #991  n. 海；海洋；许多；大量
dream  #992  vi. 梦想；做梦，梦见；想到 n. 梦想，愿望；梦 vt. 梦想；做梦；想到 adj. 梦的；理想的；不切实际的
bar  #993  n. 条，棒；酒吧；障碍；法庭 vt. 禁止；阻拦 prep. 除……外 n. (Bar)人名；(阿拉伯、德、法、俄、罗、捷、波、葡、以)巴尔
beautiful  #994  adj. 美丽的 出色地 出色的 迷人的 迷人地
property  #995  n. 性质，性能；财产；所有权
instead  #996  adv. 代替；反而；相反
improve  #997  vt. 改善，增进；提高…的价值 vi. 增加；变得更好
stuff  #998  n. 东西；材料；填充物；素材资料 vt. 塞满；填塞；让吃饱 vi. 吃得过多
detail  #999  n. 细节，详情 vt. 详述；选派 vi. 画详图
method  #1000  n. 方法；条理；类函数 adj. 使用体验派表演方法的
sign  #1001  n. 迹象；符号；记号；手势；指示牌 vi. 签署；签名 vt. 签署；示意
somebody  #1002  n. 大人物；重要人物 pron. 有人；某人
magazine  #1003  n. 杂志；弹药库；胶卷盒
hotel  #1004  n. 旅馆，饭店；客栈 vt. 使…在饭店下榻 vi. 进行旅馆式办公 n. (Hotel)人名；(法)奥泰尔
soldier  #1005  n. 军人；[昆] 兵蚁；懒汉；一片烤面包 vi. 当兵；磨洋工；坚持干；假称害病
reflect  #1006  vt. 反映；反射，照出；表达；显示;反省 vi. 反射，映现；深思
heavy  #1007  adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的 n. 重物；严肃角色 adv. 大量地；笨重地
sexual  #1008  adj. 性的；性别的；有性的
cause  #1009  n. 原因；事业；目标 vt. 引起；使遭受
bag  #1010  n. 包；袋；猎获物；（俚）一瓶啤酒 vt. 猎获；把…装入袋中；放弃；得分；占据，私吞；使膨大；毁掉 vi. 松垂；变形
heat  #1011  n. 高温；压力；热度；热烈 vt. 使激动；把…加热
fall  #1012  vi. 落下；变成；来临；减弱 n. 下降；秋天；瀑布 vt. 砍倒；击倒 adj. 秋天的 n. (Fall)人名；(法、芬、瑞典)法尔；(英、匈)福尔；(阿拉伯)法勒
marriage  #1013  n. 结婚；婚姻生活；密切结合，合并 n. (Marriage)人名；(英)马里奇
tough  #1014  adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的 n. 恶棍 vt. 坚持；忍受，忍耐 adv. 强硬地，顽强地 n. (Tough)人名；(英)图赫
sing  #1015  vi. 唱歌；歌颂；鸣叫；呼号 vt. 唱；用诗赞颂；唱着使 n. 演唱；鸣声；呼啸声 n. (Sing)人名；(老、德、泰)辛
surface  #1016  n. 表面；表层；外观 adj. 表面的，肤浅的 vi. 浮出水面 vt. 使浮出水面；使成平面 n. (Surface)人名；(英)瑟菲斯
purpose  #1017  n. 目的；用途；意志 vt. 决心；企图；打算
exist  #1018  vi. 存在；生存；生活；继续存在
pattern  #1019  n. 模式；图案；样品 vt. 模仿；以图案装饰 vi. 形成图案
whom  #1020  pron. 谁（who的宾格）
skin  #1021  n. 皮肤；外皮 vt. 剥皮 vi. 愈合；长皮
agent  #1022  n. 代理人，代理商；药剂；特工 vt. 由…作中介；由…代理 adj. 代理的 n. (Agent)人名；(罗)阿真特
owner  #1023  n. [经] 所有者；物主
machine  #1024  n. 机械，机器；机构；机械般工作的人 vt. 用机器制造 n. (Machine)人名；(意)马基内
gas  #1025  n. 气体；[矿业] 瓦斯；汽油；毒气 vt. 加油；毒（死） vi. 加油；放出气体；空谈 n. (Gas)人名；(法、德、西)加斯
down  #1026  adv. 向下，下去；在下面；下降；下跌；减弱 adj. 向下的；悲哀；沮丧；停机；停止运行 n. 软毛，绒毛；[地质] 开阔的高地 prep. 沿着，往下；贯穿…时间；遍及…时期 vt. 打倒，击败；吃下；喝下 vi. 打倒，击败
ahead  #1027  adj. 向前；在前的；领先 adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来
generation  #1028  n. 一代；产生；一代人；生殖
commercial  #1029  adj. 商业的；营利的；靠广告收入的 n. 商业广告
address  #1030  vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理 n. 地址；演讲；致辞；说话的技巧；称呼
cancer  #1031  n. 癌症；恶性肿瘤
test  #1032  n. 试验；检验 vt. 试验；测试 vi. 试验；测试 n. (Test)人名；(英)特斯特
item  #1033  n. 条款，项目；一则；一件商品（或物品） adj. 又，同上 v. 记下；逐条列出
reality  #1034  n. 现实；实际；真实
coach  #1035  n. 教练；旅客车厢；长途公车；四轮大马车 vt. 训练；指导 vi. 作指导；接受辅导；坐马车旅行 n.  蔻驰（皮革品牌）
step  #1036  n. 步，脚步；步骤；步伐；梯级 vi. 踏，踩；走 vt. 走，迈步
Mrs  #1037  n. 太太；夫人（用于已婚妇女姓名前的尊称）
yard  #1038  n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁 vt. 把…关进或围在畜栏里 n. (Yard)人名；(英)亚德
beat  #1039  vt. 打；打败；搅拌；对…采取预防措施；避免；比…好 vi. 打；打败；拍打；有节奏地舒张与收缩 n. 拍子；敲击；有规律的一连串敲打；（巡警的）巡逻区域；工作区域 adj. 筋疲力尽的；疲惫不堪的 n. (Beat) 贝亚特（人名）
violence  #1040  n. 暴力；侵犯；激烈；歪曲
total  #1041  adj. 全部的；完全的；整个的 vt. 总数达 vi. 合计 n. 总数，合计 n. (Total)人名；(法、德)托塔尔
tend  #1042  vi. 趋向，倾向；照料，照顾 vt. 照料，照管
investment  #1043  n. 投资；投入；封锁
discussion  #1044  n. 讨论，议论
finger  #1045  n. 手指；指针，指状物 vt. 伸出；用手指拨弄 vi. 用指触摸；拨弄 n. (Finger)人名；(英、德、捷)芬格；(俄)芬格尔
garden  #1046  n. 花园；菜园 vt. 栽培花木 vi. 从事园艺；在园中种植 n. (Garden)人名；(英、意、巴基)加登
notice  #1047  n. 通知，布告；注意；公告 vt. 通知；注意到；留心 vi. 引起注意
collection  #1048  n. 采集，聚集；[税收] 征收；收藏品；募捐
modern  #1049  adj. 现代的，近代的；时髦的 n. 现代人；有思想的人
task  #1050  vt. 分派任务 n. 工作，作业；任务
partner  #1051  n. 伙伴；合伙人；配偶 vi. 合伙；合股；成为搭档 vt. 使合作；与…合伙 n. (Partner)人名；(英、德)帕特纳
positive  #1052  adj. 积极的；[数] 正的，[医][化学] 阳性的；确定的，肯定的；实际的，真实的；绝对的 n. 正数；[摄] 正片
civil  #1053  adj. 公民的；民间的；文职的；有礼貌的；根据民法的 n. (Civil)人名；(土)吉维尔；(法)西维尔
kitchen  #1054  n. 厨房；炊具；炊事人员 n. (Kitchen)人名；(英)基钦
consumer  #1055  n. 消费者；用户，顾客
shot  #1056  n. 发射；炮弹；射手；镜头 adj. 用尽的；破旧的；杂色的，闪光的 v. 射击（shoot的过去式和过去分词）
budget  #1057  n. 预算，预算费 vt. 安排，预定；把…编入预算 vi. 编预算，做预算 adj. 廉价的
wish  #1058  n. 希望；祝福；心愿 vt. 祝愿；渴望；向…致问候语 vi. 愿望；需要 n. (Wish)人名；(英)威什
painting  #1059  n. 绘画；油画；着色 v. 绘画（paint的ing形式）；涂色于 n. (Painting)人名；(英)佩因廷
scientist  #1060  n. 科学家
safe  #1061  adj. 安全的；可靠的；平安的 n. 保险箱；冷藏室；纱橱 n. (Safe)人名；(几)萨菲
agreement  #1062  n. 协议；同意，一致
capital  #1063  n. 首都，省会；资金；大写字母；资本家 adj. 首都的；重要的；大写的 n. (Capital)人名；(法)卡皮塔尔
mouth  #1064  n. 口，嘴；河口 vt. 做作地说，装腔作势地说；喃喃地说出 vi. 装腔作势说话
nor  #1065  conj. 也不；也不是 adv. 也不；也没有 n. (Nor)人名；(中)挪(广东话·威妥玛)；(马来、俄)诺尔；(柬)诺
victim  #1066  n. 受害人；牺牲品；牺牲者
newspaper  #1067  n. 报纸 报社 旧报纸
instead  #1068  adv. 代替；反而；相反
threat  #1069  n. 威胁，恐吓；凶兆
responsibility  #1070  n. 责任，职责；义务
smile  #1071  vi. 微笑 n. 微笑；笑容；喜色 vt. 微笑着表示 n. (Smile)人名；(塞)斯米莱
attorney  #1072  n. 律师；代理人；检察官
score  #1073  n. 分数；二十；配乐；刻痕 vt. 获得；评价；划线，刻划；把…记下 vi. 得分；记分；刻痕 n. (Score)人名；(英)斯科尔
account  #1074  n. 账户；解释；账目，账单；理由；描述 vi. 解释；导致；报账 vt. 认为；把…视为
interesting  #1075  adj. 有趣的；引起兴趣的，令人关注的
break  #1076  vi. 打破；折断；弄坏；削弱 vt. （使）破；打破（纪录）；（常指好天气）突变；开始 vi. （嗓音）突变；突破；破晓；（价格）突然下跌 n. 破裂；间断；（持续一段时间的状况的）改变；间歇
audience  #1077  n. 观众；听众；读者；接见；正式会见；拜会
rich  #1078  adj. 富有的；肥沃的；昂贵的 adj. 油腻的，含有很多脂肪 n. (Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什
dinner  #1079  n. 晚餐，晚宴；宴会；正餐 n. (Dinner)人名；(法)迪内
figure  #1080  n. 数字；人物；图形；价格；（人的）体形；画像 vi. 计算；出现；扮演角色 vt. 计算；认为；描绘；象征
vote  #1081  n. 投票，选举；选票；得票数 vt. 提议，使投票；投票决定；公认 vi. 选举，投票 n. (Vote)人名；(英、法)沃特
western  #1082  adj. 西方的，西部的；有西方特征的 n. 西方人；西部片，西部小说 n. (Western)人名；(英)韦斯顿
relate  #1083  vt. 叙述；使…有联系 vi. 涉及；认同；符合；与…有某种联系
travel  #1084  vi. 旅行；行进；步行；交往 vt. 经过；在…旅行 n. 旅行；游历；漫游
debate  #1085  vt. 辩论，争论，讨论 vi. 辩论，争论，讨论 n. 辩论；辩论会
prevent  #1086  vt. 预防，防止；阻止 vi. 妨碍，阻止
citizen  #1087  n. 公民；市民；老百姓
majority  #1088  n. 多数；成年
none  #1089  pron. 没有人；一个也没有；没有任何东西 adj. 没有的，一点没有的 adv. 决不，一点也不 n. (None)人名；(葡、罗)诺内；(日)野根(姓)
front  #1090  n. 前面；正面；前线 vt. 面对；朝向；对付 vi. 朝向 adj. 前面的；正面的 adv. 在前面；向前 n. (Front)人名；(法)弗龙
born  #1091  v. 出世（bear的过去分词） adj. 天生的 n. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩
admit  #1092  vt. 承认；准许进入；可容纳 vi. 承认；容许
senior  #1093  adj. 高级的；年长的；地位较高的；年资较深的，资格较老的 n. 上司；较年长者；毕业班学生 n. (Senior)人名；(英)西尼尔
assume  #1094  vi. 假定；设想；承担；采取 vt. 僭取；篡夺；夺取；擅用；侵占
wind  #1095  n. 风；呼吸；气味；卷绕 vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人 vi. 缠绕；上发条；吹响号角 n. (Wind)人名；(英、德、瑞典)温德
key  #1096  n. （打字机等的）键；关键；钥匙 vt. 键入；锁上；调节…的音调；提供线索 vi. 使用钥匙 adj. 关键的 n. (Key)人名；(英)基；(德、荷、瑞典)凯
professional  #1097  adj. 专业的；职业的；职业性的 n. 专业人员；职业运动员
mission  #1098  n. 使命，任务；代表团；布道 vt. 派遣；向……传教
fast  #1099  adj. 快速的，迅速的；紧的，稳固的 adv. 迅速地；紧紧地；彻底地 vi. 禁食，斋戒 n. 斋戒；绝食 n. (Fast)人名；(德、英、俄、芬、捷、瑞典)法斯特
alone  #1100  adj. 独自的；单独的；孤独的 adv. 独自地；单独地
customer  #1101  n. 顾客；家伙
suffer  #1102  vt. 遭受；忍受；经历 vi. 遭受，忍受；受痛苦；经验；受损害 n. (Suffer)人名；(意)苏费尔
speech  #1103  n. 演讲；讲话；[语] 语音；演说
successful  #1104  adj. 成功的；一帆风顺的
option  #1105  n. [计] 选项；选择权；买卖的特权
participant  #1106  adj. 参与的；有关系的 n. 参与者；关系者
southern  #1107  adj. 南的；南方的 n. 南方人 n. (Southern)人名；(英)萨瑟恩
fresh  #1108  adj. 新鲜的；清新的；淡水的；无经验的 n. 开始；新生；泛滥 adv. 刚刚，才；最新地
eventually  #1109  adv. 最后，终于
no  #1110  adv. 不 adj. 没有；不是 n. 不；否决票 abbr. 数字（number）；元素锘（nobelium）的符号 n. (No)人名；(柬)诺；(越)努
forest  #1111  vt. 植树于，使成为森林 n. 森林 n. (Forest)人名；(法)福雷；(英、西)福雷斯特
video  #1112  n. [电子] 视频；录像，录像机；电视 adj. 视频的；录像的；电视的 v. 录制
global  #1113  adj. 全球的；总体的；球形的
Senate  #1114  n. 参议院，上院；（古罗马的）元老院
reform  #1115  n. 改革，改良；改正 vt. 改革，革新；重新组成 vi. 重组；改过 adj. 改革的；改革教会的
access  #1116  vt. 使用；存取；接近 n. 进入；使用权；通路
restaurant  #1117  n. 餐馆；[经] 饭店
judge  #1118  vt. 判断；审判 n. 法官；裁判员 vi. 审判；判决 n. (Judge)人名；(英)贾奇
publish  #1119  vt. 出版；发表；公布 vi. 出版；发行；刊印
cost  #1120  vt. 花费；使付出；使花许多钱；估价，估算成本 vi. 花费 n. 费用，代价，成本；损失
relation  #1121  n. 关系；叙述；故事；亲属关系
like  #1122  vt. 喜欢；想；愿意 vi. 喜欢；希望 prep. 像；如同 adj. 同样的；相似的 n. 爱好；同样的人或物 adv. 可能 conj. 好像
release  #1123  vt. 释放；发射；让与；允许发表 n. 释放；发布；让与
own  #1124  vt. 拥有；承认 vi. 承认 adj. 自己的；特有的 n. 自己的 n. (Own)人名；(阿拉伯)奥恩
